global_step,episode,step_in_episode,action,reward,loss,q_value,epsilon,timestamp
4890,14,64,3,0.0,,0.0583040714263916,0.9903178000002102,2026-01-19T23:07:13.873891
4900,14,74,0,0.0,,0.059014808386564255,0.9902980000002106,2026-01-19T23:07:13.881180
4910,14,84,0,0.0,,0.05945340543985367,0.990278200000211,2026-01-19T23:07:13.888945
4920,14,94,5,0.0,,0.059282924979925156,0.9902584000002115,2026-01-19T23:07:13.896841
4930,14,104,0,0.0,,0.058913446962833405,0.9902386000002119,2026-01-19T23:07:13.903522
4940,14,114,1,0.0,,0.05908238887786865,0.9902188000002123,2026-01-19T23:07:13.910248
4950,14,124,2,0.0,,0.05960647761821747,0.9901990000002128,2026-01-19T23:07:13.917779
4960,14,134,1,0.0,,0.058974966406822205,0.9901792000002132,2026-01-19T23:07:13.924442
4970,14,144,5,0.0,,0.05950738117098808,0.9901594000002136,2026-01-19T23:07:13.933132
4980,14,154,2,0.0,,0.058740075677633286,0.9901396000002141,2026-01-19T23:07:13.939556
4990,14,164,2,25.0,,0.05839134007692337,0.9901198000002145,2026-01-19T23:07:13.947684
5000,14,174,1,0.0,,0.05825144052505493,0.9901000000002149,2026-01-19T23:07:13.955909
5010,14,184,2,0.0,,0.0580935999751091,0.9900802000002153,2026-01-19T23:07:13.962905
5020,14,194,3,0.0,,0.0589800626039505,0.9900604000002158,2026-01-19T23:07:13.970141
5030,14,204,2,0.0,,0.05904553458094597,0.9900406000002162,2026-01-19T23:07:13.977957
5040,14,214,4,0.0,,0.0587848536670208,0.9900208000002166,2026-01-19T23:07:13.984865
5050,14,224,4,0.0,,0.059112548828125,0.9900010000002171,2026-01-19T23:07:13.991440
5060,14,234,3,0.0,,0.05862243473529816,0.9899812000002175,2026-01-19T23:07:13.997672
5070,14,244,2,0.0,,0.059334538877010345,0.9899614000002179,2026-01-19T23:07:14.004437
5080,14,254,0,0.0,,0.0587826743721962,0.9899416000002184,2026-01-19T23:07:14.011626
5090,14,264,1,0.0,,0.05879483371973038,0.9899218000002188,2026-01-19T23:07:14.019847
5100,14,274,0,0.0,,0.058652911335229874,0.9899020000002192,2026-01-19T23:07:14.026422
5110,14,284,1,0.0,,0.058854397386312485,0.9898822000002196,2026-01-19T23:07:14.033254
5120,14,294,5,0.0,,0.05867733061313629,0.9898624000002201,2026-01-19T23:07:14.040117
5130,14,304,5,0.0,,0.05878084897994995,0.9898426000002205,2026-01-19T23:07:14.046995
5140,14,314,2,0.0,,0.05893705040216446,0.9898228000002209,2026-01-19T23:07:14.053782
5150,14,324,2,0.0,,0.059197623282670975,0.9898030000002214,2026-01-19T23:07:14.060761
5160,14,334,0,0.0,,0.05820697546005249,0.9897832000002218,2026-01-19T23:07:14.067851
5170,14,344,0,0.0,,0.05826655030250549,0.9897634000002222,2026-01-19T23:07:14.076184
5180,15,1,3,0.0,,0.058556728065013885,0.9897436000002227,2026-01-19T23:07:14.090757
5190,15,11,0,0.0,,0.05861080810427666,0.9897238000002231,2026-01-19T23:07:14.100488
5200,15,21,0,0.0,,0.05853552743792534,0.9897040000002235,2026-01-19T23:07:14.109037
5210,15,31,2,0.0,,0.05871141701936722,0.989684200000224,2026-01-19T23:07:14.116183
5220,15,41,0,0.0,,0.05880527198314667,0.9896644000002244,2026-01-19T23:07:14.123217
5230,15,51,0,0.0,,0.0585995651781559,0.9896446000002248,2026-01-19T23:07:14.130134
5240,15,61,2,0.0,,0.05836682394146919,0.9896248000002252,2026-01-19T23:07:14.136717
5250,15,71,2,0.0,,0.05915646627545357,0.9896050000002257,2026-01-19T23:07:14.145258
5260,15,81,5,0.0,,0.05914981663227081,0.9895852000002261,2026-01-19T23:07:14.152218
5270,15,91,4,0.0,,0.05921480059623718,0.9895654000002265,2026-01-19T23:07:14.159026
5280,15,101,3,0.0,,0.05922369658946991,0.989545600000227,2026-01-19T23:07:14.166757
5290,15,111,1,0.0,,0.059210143983364105,0.9895258000002274,2026-01-19T23:07:14.173706
5300,15,121,1,0.0,,0.05908706411719322,0.9895060000002278,2026-01-19T23:07:14.180570
5310,15,131,4,0.0,,0.058673739433288574,0.9894862000002282,2026-01-19T23:07:14.187948
